lower_b,bounds
0.0,0.0
0.999,"(0.999, 2.0]"
2.0,"(2.0, 3.0]"
3.0,"(3.0, 4.0]"
4.0,"(4.0, 5.0]"
5.0,"(5.0, 6.0]"
6.0,"(6.0, 7.0]"
7.0,"(7.0, 8.0]"
8.0,"(8.0, 9.0]"
9.0,"(9.0, 11.0]"
11.0,"(11.0, 12.0]"
12.0,"(12.0, 14.0]"
14.0,"(14.0, 16.0]"
16.0,"(16.0, 18.0]"
18.0,"(18.0, 20.0]"
20.0,"(20.0, 22.0]"
22.0,"(22.0, 25.0]"
25.0,"(25.0, 27.0]"
27.0,"(27.0, 30.0]"
30.0,"(30.0, 33.0]"
33.0,"(33.0, 36.0]"
36.0,"(36.0, 40.0]"
40.0,"(40.0, 43.0]"
43.0,"(43.0, 47.0]"
47.0,"(47.0, 51.0]"
51.0,"(51.0, 55.0]"
55.0,"(55.0, 60.0]"
60.0,"(60.0, 64.0]"
64.0,"(64.0, 69.0]"
69.0,"(69.0, 74.446]"
74.446,"(74.446, 80.0]"
80.0,"(80.0, 86.0]"
86.0,"(86.0, 93.0]"
93.0,"(93.0, 99.0]"
99.0,"(99.0, 107.0]"
107.0,"(107.0, 115.0]"
115.0,"(115.0, 123.0]"
123.0,"(123.0, 132.0]"
132.0,"(132.0, 142.0]"
142.0,"(142.0, 152.0]"
152.0,"(152.0, 164.0]"
164.0,"(164.0, 176.0]"
176.0,"(176.0, 189.0]"
189.0,"(189.0, 203.0]"
203.0,"(203.0, 218.0]"
218.0,"(218.0, 235.0]"
235.0,"(235.0, 254.0]"
254.0,"(254.0, 274.0]"
274.0,"(274.0, 296.0]"
296.0,"(296.0, 321.0]"
321.0,"(321.0, 350.0]"
350.0,"(350.0, 382.0]"
382.0,"(382.0, 417.0]"
417.0,"(417.0, 458.0]"
458.0,"(458.0, 505.0]"
505.0,"(505.0, 560.0]"
560.0,"(560.0, 627.0]"
627.0,"(627.0, 708.0]"
708.0,"(708.0, 810.0]"
810.0,"(810.0, 947.0]"
947.0,"(947.0, 1146.0]"
1146.0,"(1146.0, 1464.0]"
1464.0,"(1464.0, 2175.0]"
2175.0,"(2175.0, 3000166.0]"
